Register Number,Gender,Study hours,Attendance percentage,Semester 1(aggregate),Semester 2(aggregate),Semester 3(aggregate),Semester 4(aggregate),Semester 5(aggregate),Semester 6(aggregate),Semester 7(aggregate),Semester 8(aggregate),Total aggregate,No. of backlogs,Internet access(yes/no),Extracurricular activities(yes/no),Device used for studing,Library Usage,Sleep hours,Classroom engagement level,Peer interaction level
REG00903,Male,6.8,78.6,76.48,78.58,73.32,74.14,72.05,74.1,75.77,71.13,74.45,5,no,yes,Text books,no,6-8 hrs,Medium,Low
REG00904,Female,5.6,80.1,54.3,57.74,62.42,60.81,58.58,64.59,69.46,68.9,62.1,1,yes,yes,Laptops,no,>8 hrs,Medium,Medium
REG00905,Male,0.5,84.1,82.14,80.8,79.9,80.85,79.88,83,81.22,78.8,80.82,2,yes,yes,"Mobile, Text books",yes,4-6 hrs,High,Medium
REG00906,Female,3.4,84,73.3,72.73,72.46,72.33,69.85,67.84,70.58,72.42,71.44,5,yes,no,Laptops,no,>8 hrs,High,Medium
REG00907,Female,3.4,75.4,74.48,68.99,67.18,69.72,72.91,69.62,67.67,67.1,69.71,1,yes,no,"Laptops, Text books",yes,6-8 hrs,Medium,High
REG00908,Male,5.5,87.5,81.95,80.99,84.88,87.27,85.04,91.12,88.5,90.61,86.3,1,yes,no,"Mobile, Text books",yes,4-6 hrs,Medium,Medium
REG00909,Male,0.5,76.9,53.2,54.04,57.71,59.98,60.58,68.25,66.33,67.91,61,3,yes,yes,"Laptops, Mobile",no,6-8 hrs,Medium,Medium
REG00910,Male,9.6,80.7,67.64,64.17,61.87,62.09,57.53,55.47,56.45,53.47,59.84,6,yes,yes,Mobile,no,4-6 hrs,Medium,Low
REG00911,Female,5.6,87.5,51.49,54.62,50.79,51.82,53.37,51.37,51.65,51.23,52.04,6,yes,yes,Mobile,yes,4-6 hrs,High,High
REG00912,Male,4.8,76.9,54.9,57.71,63.68,59.38,66.72,67.61,71.27,76.41,64.71,6,yes,yes,Text books,no,6-8 hrs,Medium,Medium
REG00913,Female,6.9,77.4,66.96,73.56,70.53,73.17,72.77,80.39,76.31,84.92,74.83,3,yes,yes,"Mobile, Text books",no,6-8 hrs,Medium,Medium
REG00914,Male,9.2,86.7,75.36,71.61,67.3,71.57,69.77,64.4,64.43,60.32,68.1,1,no,no,"Laptops, Mobile, Text books",no,4-6 hrs,Low,High
REG00915,Female,6.2,75.1,79.3,76.22,73.95,75.61,67.93,65.33,62.51,63.76,70.58,2,yes,no,Laptops,yes,6-8 hrs,Medium,Medium
REG00916,Male,6.4,78.9,79.48,78.7,79.63,81.07,86.61,87.24,92.44,88.74,84.24,0,yes,yes,"Laptops, Text books",yes,6-8 hrs,Medium,Medium
REG00917,Male,4.8,86.4,62.84,61.58,61.52,65.57,61.18,63.43,64.6,63.94,63.08,2,yes,no,"Laptops, Text books",yes,4-6 hrs,Medium,Low
REG00918,Female,4.2,98.4,72.68,74.85,79.68,80.7,82.21,85.97,88.12,87.59,81.47,3,yes,no,"Laptops, Mobile",yes,6-8 hrs,Medium,Medium
REG00919,Female,3.5,86.8,55.83,56.89,60.49,58.09,55.92,58.19,58.84,54.86,57.39,2,yes,yes,"Laptops, Mobile",no,6-8 hrs,Medium,High
REG00920,Male,2.8,85.8,66.66,69.36,68.78,68.86,73.45,69.18,71.07,72.45,69.98,2,yes,yes,Text books,no,6-8 hrs,Medium,Medium
REG00921,Female,3.1,86.2,60.02,68.06,66.56,71.19,70.74,74.57,75.59,75.36,70.26,4,yes,yes,"Laptops, Mobile",yes,4-6 hrs,High,Medium
REG00922,Female,1.8,73.4,54.81,54.44,51.06,53.12,45.94,43.97,40.96,40.34,48.08,7,yes,yes,Text books,yes,6-8 hrs,Medium,High
REG00923,Female,4.3,82.9,77.94,76.43,75.39,75.77,73.18,73.84,78.47,76.77,75.97,1,yes,yes,"Laptops, Mobile",yes,6-8 hrs,Low,Medium
REG00924,Female,1.1,81.8,66.18,69.7,71.43,75.66,76.8,80,79.47,85.23,75.56,1,yes,yes,Laptops,yes,4-6 hrs,Medium,Medium
REG00925,Male,4.9,84.6,79.09,79.86,84.26,77.79,78.58,77.33,78,80.85,79.47,6,yes,no,Text books,no,6-8 hrs,Medium,Medium
REG00926,Male,4.4,82.9,81.05,77.24,75.73,79.08,79.5,78.93,78.78,76.6,78.36,3,yes,no,"Laptops, Mobile",no,6-8 hrs,Medium,Medium
REG00927,Male,4.8,85,53.6,50.51,56.54,59.01,61.31,61.39,65.65,63.92,58.99,3,yes,no,"Mobile, Text books",no,4-6 hrs,High,High
REG00928,Female,3.5,79.5,64.39,66.45,67.94,70.61,74.62,75.91,76.28,81.62,72.23,2,yes,no,Laptops,yes,6-8 hrs,Low,High
REG00929,Female,10,82.5,48.62,46.02,46.73,44.75,41.66,37.84,39.25,35.61,42.56,8,yes,no,Laptops,yes,6-8 hrs,High,Medium
REG00930,Male,7.2,72.2,74.32,68.38,67.76,65.67,65.46,65.99,68.78,69.24,68.2,2,yes,no,Mobile,yes,6-8 hrs,Medium,Low
REG00931,Male,2,79.4,59.41,57.64,52.22,50.66,49.97,48.1,49.01,44.66,51.46,3,yes,no,Text books,no,4-6 hrs,Low,High
REG00932,Female,5,93.1,70.45,74.29,66.39,69.58,67.49,65.73,64.49,64.14,67.82,4,yes,yes,"Laptops, Text books",yes,6-8 hrs,Low,High
REG00933,Other,3.3,84.6,60.18,58.94,56.65,57.72,59.13,58.89,56.96,61.14,58.7,2,yes,yes,Mobile,yes,<2 hrs,Medium,High
REG00934,Female,2.5,81.8,51.11,51.39,55.64,51.77,53.94,55.18,54.99,54.24,53.53,3,no,yes,"Mobile, Text books",yes,6-8 hrs,Medium,Low
REG00935,Male,1.8,97.2,59.08,54.95,55.69,54.17,52.71,61.31,56.79,58.65,56.67,4,yes,no,"Laptops, Text books",no,2-4 hrs,Medium,Medium
REG00936,Male,5.4,71.1,57.84,61.2,58.39,56.63,58.23,56.85,56.94,56.58,57.83,0,yes,yes,Mobile,no,4-6 hrs,Medium,High
REG00937,Male,3.1,73.1,67.95,62.54,62.43,60.81,56.72,54.23,53.59,53.43,58.96,5,yes,yes,Text books,yes,2-4 hrs,High,Medium
REG00938,Female,6.4,95.7,79.29,79.98,82.67,85.38,85.44,85.77,90.79,94.61,85.49,3,yes,yes,Laptops,yes,4-6 hrs,Medium,Medium
REG00939,Male,6.5,82.4,73.95,73.33,69.18,66.73,68.63,67.01,63.35,61.51,67.96,7,yes,yes,Laptops,yes,6-8 hrs,Medium,Medium
REG00940,Female,7.2,80.1,68.62,69.53,67.97,71.23,71.91,69,68.06,68.64,69.37,5,yes,no,Mobile,yes,>8 hrs,Medium,Medium
REG00941,Male,2.8,72.4,53.12,56.71,56.63,53.79,54.18,55.13,55.88,54.44,54.98,2,yes,yes,Laptops,no,4-6 hrs,Low,Medium
REG00942,Female,5.5,85.6,75.59,77.35,77.31,82.85,81.9,80.03,77.88,80.97,79.24,2,yes,no,Laptops,yes,4-6 hrs,Medium,Medium
REG00943,Female,5.8,86.4,69.44,65.04,64.96,67.48,63.2,59.15,58.87,56.48,63.08,7,yes,yes,"Mobile, Text books",yes,6-8 hrs,High,High
REG00944,Female,3.6,73.2,67.25,60.53,63.57,67.52,67.67,64.28,65.66,65.1,65.2,4,yes,no,"Mobile, Text books",yes,6-8 hrs,High,Medium
REG00945,Male,3,80.9,51.14,50.2,51.27,49.52,48.85,48.73,49.12,52.07,50.11,7,yes,no,Mobile,no,4-6 hrs,Medium,High
REG00946,Male,7.7,79.3,75.38,72.33,74.09,71.58,72.66,69.8,68.23,71.74,71.98,1,yes,yes,Mobile,no,4-6 hrs,High,High
REG00947,Male,5,84,52.15,52.12,55.54,59.31,57.86,52.85,53.85,53.08,54.6,4,yes,no,"Mobile, Text books",yes,6-8 hrs,High,High
REG00948,Female,5.8,73,69.45,72.08,73.62,71.48,76.61,79.59,77.98,80.73,75.19,2,no,no,"Laptops, Text books",yes,2-4 hrs,High,Medium
REG00949,Female,2.9,92,52.65,48.55,54.64,51.49,53.7,51.85,52.8,52.69,52.3,6,yes,no,Mobile,no,4-6 hrs,High,Low
REG00950,Female,2.1,89.3,60.43,59.46,59.9,58.73,60.79,60.1,59.64,62.36,60.18,3,yes,yes,Mobile,yes,4-6 hrs,Medium,Medium
REG00951,Female,3.4,79.1,77.76,75.59,73.84,73.96,75.58,72.46,74.52,72.04,74.47,4,yes,no,Mobile,yes,6-8 hrs,High,High
REG00952,Female,4.3,80.3,70.64,75.81,77.43,76.75,81.85,83.32,86.84,87.98,80.08,1,yes,yes,"Laptops, Text books",yes,2-4 hrs,Medium,Low
REG00953,Male,2.4,80.9,75.76,74.66,75.82,74.07,74.56,74.37,72.03,69.26,73.82,0,no,yes,Text books,yes,>8 hrs,Medium,Medium
REG00954,Female,4.5,75.8,50.72,54.74,49.09,46.39,46.57,46.11,39.14,38.42,46.4,5,yes,no,"Laptops, Mobile, Text books",yes,4-6 hrs,Low,Medium
REG00955,Male,1.1,78.5,69.29,71.92,70.97,74.99,71.53,71.66,72.85,71.41,71.83,5,yes,no,Text books,yes,<2 hrs,Low,Medium
REG00956,Male,2.3,79.8,68.75,71.54,72.7,65.97,68.72,69.9,68.1,68.21,69.24,4,yes,yes,"Laptops, Mobile, Text books",yes,4-6 hrs,High,Medium
REG00957,Female,5.8,94.9,73.44,72.16,71.44,71.25,74.59,72.1,72.61,72.66,72.53,2,yes,yes,"Laptops, Text books",no,4-6 hrs,High,Low
REG00958,Male,5.7,89.6,57.95,58.91,57.57,59.37,58.99,56.2,56.32,58.14,57.93,7,yes,yes,"Mobile, Text books",yes,4-6 hrs,Low,Medium
REG00959,Male,3.7,89.5,72.5,70.7,72.92,74.15,67.34,65.58,74.31,68.95,70.81,3,yes,no,Laptops,yes,>8 hrs,Medium,Medium
REG00960,Female,2.5,85,61.01,62.97,65.59,66.59,71.02,75.17,73.77,74.24,68.79,1,yes,no,Laptops,yes,>8 hrs,Medium,Medium
REG00961,Male,2.4,73.1,52.79,54.87,52.16,54.57,49.98,54.97,55.77,52.71,53.48,4,yes,no,Laptops,yes,4-6 hrs,Medium,Low
REG00962,Female,3.8,81.7,59.14,54.5,56.04,51.39,46.77,44.14,47.88,42.7,50.32,5,yes,yes,Laptops,yes,4-6 hrs,High,Medium
REG00963,Male,5.8,89.8,64.97,60.1,57.41,55.25,56.52,51.12,47.53,45.82,54.84,5,yes,no,"Laptops, Mobile",yes,<2 hrs,Medium,High
REG00964,Male,6.4,71.9,77.18,76.68,78.39,74.95,72.32,68.67,68.03,64.89,72.64,4,no,no,"Mobile, Text books",yes,6-8 hrs,Medium,Medium
REG00965,Male,3.5,87.1,58.99,54.45,57.84,57.69,56.57,56.22,55.5,57.01,56.78,4,yes,yes,"Mobile, Text books",no,6-8 hrs,Low,Medium
REG00966,Male,2.2,100,59.83,57.65,62.52,54.76,60.13,58.71,59.4,58.68,58.96,4,yes,yes,"Mobile, Text books",no,4-6 hrs,High,Low
REG00967,Female,5,90.5,74,79.54,78.14,76.27,77.04,77.14,79.17,78.99,77.54,3,yes,yes,Mobile,no,6-8 hrs,High,Medium
REG00968,Male,2.9,93.3,72.85,68.28,65.49,65.17,60.83,59.68,60.74,56.53,63.7,5,yes,yes,"Laptops, Mobile",yes,6-8 hrs,Low,Medium
REG00969,Female,3.5,83.7,57.08,58.3,59.11,62.44,63.13,62.29,58.37,59.79,60.06,2,yes,no,Mobile,yes,4-6 hrs,Low,Medium
REG00970,Male,7.2,89.7,51.2,49.11,51.39,50.27,42.68,41.2,42.83,39.61,46.04,5,no,yes,"Mobile, Text books",yes,4-6 hrs,Medium,High
REG00971,Female,6.2,76.3,74.92,72.41,69.15,67.31,68.05,64.57,62.71,59.91,67.38,4,yes,yes,Mobile,yes,4-6 hrs,Medium,Medium
REG00972,Female,4.8,88.4,71.24,71.52,70.48,71.5,74.1,71.01,73.34,72.32,71.94,1,yes,no,Text books,no,6-8 hrs,Medium,Medium
REG00973,Female,2,87.2,68.09,68.99,65.16,63.94,59.29,56.61,58.72,55.32,62.01,4,yes,no,Text books,no,4-6 hrs,Medium,High
REG00974,Male,4.9,84.3,69.69,70.6,68.07,63.67,65.89,63.73,59.48,57.66,64.85,4,yes,yes,"Mobile, Text books",yes,6-8 hrs,Low,High
REG00975,Male,6.6,92.5,61.71,63.19,59.22,59.17,61.37,59.33,58.98,61.55,60.56,0,no,no,"Laptops, Text books",yes,6-8 hrs,Medium,Low
REG00976,Male,3.7,77.7,70.37,72.56,75.03,77.07,83.66,78.14,84.45,86.86,78.52,3,yes,no,Mobile,no,6-8 hrs,Medium,Medium
REG00977,Female,7.2,80.5,49.76,51.62,49.53,45,44.94,38.93,35,35,43.72,8,yes,no,"Laptops, Text books",yes,6-8 hrs,Medium,Medium
REG00978,Male,7.1,82.8,57.78,57.88,56.66,55.52,59.51,61.48,56.2,51.62,57.08,7,yes,yes,Mobile,yes,6-8 hrs,Medium,Medium
REG00979,Female,7.8,73.8,54.64,51.4,52.02,56.83,48.73,51.21,54.19,47.06,52.01,6,yes,no,Mobile,no,6-8 hrs,High,Low
REG00980,Female,5.1,83.8,61.04,62.61,59.84,58.63,54.74,55.03,50.62,51.68,56.77,7,yes,yes,"Laptops, Mobile",no,4-6 hrs,High,High
REG00981,Male,5.7,68.2,57.45,58.94,57.62,58.01,61.03,57.53,56.52,58.46,58.2,4,yes,yes,"Laptops, Text books",yes,6-8 hrs,Medium,High
REG00982,Female,7.3,90.4,60.77,62.2,65.27,62.07,61.38,59.05,65.6,63.71,62.51,5,yes,yes,Laptops,yes,4-6 hrs,Medium,High
REG00983,Male,5.4,82.4,74.81,74.72,72.93,71.43,72.49,73.06,71.48,76.09,73.38,3,yes,yes,"Laptops, Text books",no,6-8 hrs,Medium,Medium
REG00984,Male,3.5,77.8,78.14,81.77,83.76,86.55,87.31,89.41,89.32,91.05,85.91,3,yes,no,"Mobile, Text books",no,6-8 hrs,High,Low
REG00985,Female,3.6,75.3,58.93,60.95,67.36,63.66,64.91,69.82,69.92,70.68,65.78,7,yes,yes,Text books,no,4-6 hrs,Medium,Medium
REG00986,Female,5,80.1,76.29,81.84,81.77,82.26,86.37,89.35,87.4,91.01,84.54,4,yes,yes,Text books,yes,>8 hrs,Medium,Medium
REG00987,Female,1.9,87.5,75.56,76.31,79.43,81.59,79.08,76.59,79.91,75.45,77.99,2,yes,yes,Laptops,no,6-8 hrs,Medium,High
REG00988,Male,4.2,86.4,69.44,67.54,65.22,63.04,64.36,65.84,59.84,62.65,64.74,7,yes,yes,"Laptops, Text books",no,6-8 hrs,Low,Low
REG00989,Male,6.7,76.4,58.66,58.79,64.76,63.54,68.48,71.32,70.38,72.04,66,4,yes,yes,"Laptops, Text books",no,2-4 hrs,Low,Medium
REG00990,Female,0.5,75.2,58.45,53,57.5,55.3,58.99,54.61,56.74,59.3,56.74,6,yes,yes,"Laptops, Mobile, Text books",no,>8 hrs,High,High
REG00991,Female,7.6,87.3,76.49,78.48,71.89,71.36,73.43,68.4,66.47,63.87,71.3,2,yes,yes,"Mobile, Text books",yes,4-6 hrs,Medium,Medium
REG00992,Female,6.7,76.2,58.16,54.88,55.13,56.59,55.88,54.15,51.67,58.9,55.67,6,yes,yes,Laptops,yes,6-8 hrs,High,Medium
REG00993,Male,3.6,82.5,79.36,79.54,73.75,69.65,71.78,69.6,68.04,62.13,71.73,3,yes,yes,"Laptops, Mobile, Text books",yes,>8 hrs,Medium,Low
REG00994,Female,5.6,83,51.99,51.49,51.08,55.89,53.67,53.55,50.03,55.84,52.94,7,yes,no,Laptops,no,4-6 hrs,Medium,Low
REG00995,Male,4.5,84.5,51.54,48.24,53.05,58.04,52.72,52.87,52.43,53.17,52.76,3,yes,yes,"Laptops, Text books",no,2-4 hrs,Medium,Medium
REG00996,Male,7,88.9,49.74,53.34,56.44,55.43,61.54,60.6,61.63,64.37,57.89,6,yes,no,Laptops,yes,6-8 hrs,Low,Medium
REG00997,Female,6.5,71.9,61.57,64.11,65.14,64.55,62.19,62.7,62.46,64.97,63.46,0,yes,no,"Laptops, Text books",yes,4-6 hrs,High,Medium
REG00998,Male,1.7,66.7,49.46,54.98,53.5,52.72,53.96,53.2,53.29,53.06,53.02,3,yes,yes,"Laptops, Mobile",no,6-8 hrs,Medium,High
REG00999,Female,5.7,77.5,57.76,56.89,58.3,51.83,58.53,55.66,55.79,53.28,56,2,yes,yes,Laptops,no,>8 hrs,High,Medium
REG01000,Male,4.1,96.4,62.11,59.37,63.33,56.36,53.89,52.46,48.72,49.46,55.71,5,yes,yes,"Mobile, Text books",no,6-8 hrs,Medium,Medium
REG01001,Male,4.7,98.2,73.43,75.69,77.46,73.05,74.8,73.56,75.42,71.03,74.31,4,yes,yes,"Mobile, Text books",yes,4-6 hrs,High,Medium
REG01002,Female,3,96.6,52.23,48.44,49.18,50.59,42.6,43.75,43.11,44.11,46.75,5,yes,no,Laptops,no,6-8 hrs,High,Medium
REG01003,Female,8,80.5,56.31,50.78,48.71,46.34,47.36,42.83,45.5,38.62,47.06,8,yes,yes,"Laptops, Text books",no,4-6 hrs,High,High
REG01004,Female,6.6,67.7,69.03,71.46,64.9,66.36,64.65,62.86,61.31,58.23,64.85,2,yes,yes,Text books,no,6-8 hrs,High,Medium
REG01005,Female,3,63.3,65.08,67.84,72.65,72.68,74.97,78.4,81.66,78.09,73.92,0,yes,yes,"Laptops, Mobile, Text books",yes,6-8 hrs,Medium,Medium
REG01006,Female,1.8,77.1,71.51,65.83,70.39,67.6,64.11,65.11,62.56,59.22,65.79,5,yes,no,"Laptops, Mobile, Text books",yes,4-6 hrs,High,Low
REG01007,Female,3.7,80.4,76.04,80.62,80.35,83.92,87.52,90.55,89.9,94.33,85.4,4,yes,no,Text books,yes,2-4 hrs,High,Medium
REG01008,Female,5.4,92.4,50.08,54.8,55.03,53.18,54.9,52.09,53.31,54.24,53.45,5,yes,yes,Laptops,no,4-6 hrs,Medium,Medium
REG01009,Male,5,88.9,83.59,77.22,74.91,76.38,72.9,69.84,67.81,65.59,73.53,6,yes,no,Laptops,yes,>8 hrs,Medium,High
REG01010,Female,7,83.8,62.6,62.84,63.45,66.23,66.66,65.6,65.85,65.9,64.89,5,yes,yes,"Laptops, Mobile",no,2-4 hrs,High,Low
REG01011,Male,6.1,74.9,52.19,51.64,52.66,51.57,54.94,48.45,52.39,48.86,51.59,5,yes,no,"Laptops, Mobile",no,6-8 hrs,High,Low
REG01012,Other,6.4,74.3,59.58,57.5,60.59,59.1,57.43,56.84,55.83,55.9,57.85,4,yes,no,Text books,no,4-6 hrs,Low,Medium
REG01013,Female,5.2,84,64.37,59.71,57.83,60.18,54.1,54.98,53.67,51.31,57.02,2,yes,yes,Laptops,yes,4-6 hrs,Medium,Medium
REG01014,Male,1.7,87.6,78.51,78.7,77.91,78.34,78.07,77.09,80.77,78.69,78.51,2,no,yes,Laptops,yes,6-8 hrs,Medium,Low
REG01015,Female,4.1,85.1,57.41,55.22,52.82,44.19,47.51,47.13,46.44,42.47,49.15,9,yes,no,Mobile,no,4-6 hrs,High,Low
REG01016,Female,6.6,73.7,47.7,51.19,52.65,49.07,53.16,52.97,54.21,54,51.87,5,yes,no,"Mobile, Text books",no,>8 hrs,High,Medium
REG01017,Male,4.4,87.2,72.81,76.64,77.02,80.99,79.26,87.18,88.27,82.94,80.64,1,yes,yes,"Laptops, Mobile",yes,2-4 hrs,Low,Medium
REG01018,Female,5.5,85.4,60.48,60.04,55.62,59.44,56.82,56.43,59.13,55.51,57.93,3,no,yes,Text books,yes,>8 hrs,Medium,High
REG01019,Female,3.9,73.4,54.43,56.5,52.05,57.8,56.12,56.82,56.62,54.25,55.57,6,yes,no,"Mobile, Text books",no,2-4 hrs,High,Medium
REG01020,Male,2.4,75.7,64.49,65.59,64.09,61.26,58.86,60.84,55.47,54.79,60.67,1,yes,no,Text books,yes,6-8 hrs,Medium,Medium
REG01021,Female,4.3,87.5,51.43,52.44,48.21,44.12,42.73,42.84,43.06,42.56,45.92,6,yes,yes,Mobile,yes,6-8 hrs,Medium,Low
REG01022,Male,5.1,80.1,51.15,50.76,47.82,46.32,42.52,42.31,42.13,36.79,44.98,5,yes,yes,Mobile,yes,4-6 hrs,Medium,Low
REG01023,Female,3.2,94.7,64.64,64.05,64.74,55.19,55.37,55.46,52.85,52.41,58.09,4,yes,yes,"Laptops, Mobile, Text books",yes,2-4 hrs,Low,Low
REG01024,Other,4,86,72.67,70.42,71.79,70.26,67.6,73.16,74.24,77.04,72.15,4,yes,no,"Laptops, Mobile",yes,4-6 hrs,Low,Low
REG01025,Female,2.6,78.1,68.62,73.31,68.89,72.17,71.07,72.31,71.95,71.42,71.22,1,no,no,Laptops,yes,6-8 hrs,Low,Medium
REG01026,Male,6.7,81.9,47.37,52.62,54.14,56.85,60.97,65,64.25,62.43,57.95,5,yes,yes,"Mobile, Text books",yes,6-8 hrs,Low,Medium
REG01027,Female,3.9,82.5,78.1,73.47,72.1,70.67,68.82,61.83,62.68,64.53,69.03,0,yes,yes,"Laptops, Text books",yes,4-6 hrs,Low,Medium
REG01028,Female,7.4,76.2,77.45,82.43,76.49,72.49,81.02,81.3,80.31,76.88,78.55,2,yes,yes,Laptops,yes,<2 hrs,High,Medium
REG01029,Male,7.6,74.7,51.47,47.99,52.64,50.19,52.15,53.82,53.93,51.65,51.73,5,yes,yes,Text books,yes,6-8 hrs,Medium,Low
REG01030,Female,4.3,87.6,73.53,78.05,78.46,76.64,75.04,73.02,76.31,73.44,75.56,4,yes,no,Laptops,no,6-8 hrs,Medium,Medium
REG01031,Male,2.5,88.8,65.8,63.94,62.27,62.26,62.04,62.03,61.06,63.83,62.9,6,no,no,Laptops,yes,6-8 hrs,Medium,Medium
REG01032,Female,0.5,86.8,64.57,68.06,66.09,68.58,68.77,70.33,75.3,75.29,69.62,5,yes,yes,Mobile,no,4-6 hrs,High,High
REG01033,Male,1.6,94.1,62.94,60.28,55.49,53.15,53.4,48.5,50.68,41.64,53.26,4,yes,yes,"Mobile, Text books",yes,6-8 hrs,Medium,High
REG01034,Male,1.8,77.7,51.02,49.86,46.19,45.02,44.21,39.69,41.6,39.79,44.67,2,yes,no,Mobile,yes,4-6 hrs,Medium,Medium
REG01035,Male,7.3,95.4,66.58,65.83,59.37,59.92,58.78,54.73,55.08,48.63,58.61,6,yes,yes,"Mobile, Text books",yes,4-6 hrs,High,Medium
REG01036,Female,4.7,74.8,57.99,57.24,62.62,60.69,65.38,63.57,70.25,71.94,63.71,2,no,yes,Text books,yes,4-6 hrs,Low,Medium
REG01037,Male,5.3,73.9,55.7,60.47,60.66,59.27,63.73,64.56,66.66,69.57,62.58,1,yes,yes,"Laptops, Text books",no,6-8 hrs,High,Medium
REG01038,Female,0.5,67.9,78.97,75.44,70,66.94,67.22,62.76,64.16,67.37,69.11,7,yes,no,Mobile,no,4-6 hrs,Medium,Medium
REG01039,Male,2.1,78.4,75,77.01,76.73,77.81,74.64,75.42,74.64,72.91,75.52,2,yes,no,"Laptops, Mobile, Text books",no,2-4 hrs,High,High
REG01040,Male,6.3,78,55.21,58.93,57.48,60.34,60.82,65.17,68.29,69.98,62.03,4,yes,yes,Mobile,yes,4-6 hrs,High,Medium
REG01041,Female,5.1,86.2,67.12,65.35,64.26,64.89,67.94,66.21,67.44,65.76,66.12,4,yes,yes,Mobile,yes,4-6 hrs,Medium,Medium
REG01042,Female,4.2,84,52.1,52.59,54.44,55.63,58.82,59.9,65.55,63.81,57.86,4,no,no,"Mobile, Text books",no,6-8 hrs,High,High
REG01043,Male,5.6,72.5,73.24,73.25,70.35,72.39,73.17,69.32,71.45,70.81,71.75,2,yes,yes,Laptops,yes,4-6 hrs,High,Medium
REG01044,Female,7.8,78.9,68.05,64.59,66.11,66.02,65.39,64.97,68.41,66.15,66.21,2,yes,no,Mobile,yes,4-6 hrs,Medium,Low
REG01045,Female,4.1,79,57.59,57.58,61.36,62.62,64.69,66.78,67,67.57,63.15,8,yes,no,"Laptops, Text books",yes,6-8 hrs,Medium,High
REG01046,Female,4.6,67.8,79.57,79.67,79.8,79.66,77.33,79.24,80.07,79.74,79.38,0,yes,yes,"Laptops, Text books",yes,6-8 hrs,Low,Medium
REG01047,Male,4.9,74.2,70.7,76.02,71.5,73.62,74.34,71.37,69.02,72.7,72.41,2,yes,no,"Mobile, Text books",no,4-6 hrs,Medium,Low
REG01048,Male,9.3,75.8,67.75,64.7,67.26,65.28,62.07,65.12,63.9,66.97,65.38,2,yes,yes,Text books,yes,4-6 hrs,Low,Medium
REG01049,Female,0.5,93.5,76.7,77.04,76.77,78.05,78.06,76.97,77.65,74.32,76.94,4,yes,yes,Text books,no,4-6 hrs,Medium,Medium
REG01050,Male,5.9,83.5,62.29,59.71,63.82,64.21,59.8,61.23,63.82,61.83,62.09,3,yes,yes,"Mobile, Text books",yes,<2 hrs,Medium,Medium
REG01051,Female,4.3,87.3,61.89,63.34,69.25,68.01,68.11,68.77,68.83,68.27,67.06,3,yes,yes,Laptops,yes,6-8 hrs,Medium,Medium
REG01052,Female,5.6,70,72.9,72.23,73.17,74.19,76.05,81.86,83.27,84.11,77.22,4,yes,no,Laptops,yes,<2 hrs,Medium,Low
REG01053,Female,3.2,91.6,68.15,68.53,66.75,64.25,63.38,63.48,64.43,67.61,65.82,7,yes,yes,Laptops,yes,>8 hrs,Low,Medium
REG01054,Female,4.4,92.4,77.45,78.63,77.67,73.86,77.4,78.44,78.96,81.64,78.01,1,no,no,"Laptops, Mobile",no,4-6 hrs,Medium,Low
REG01055,Other,5.9,66,74.26,71.99,75.89,75.41,75.67,82.65,82.25,83.17,77.66,0,yes,no,"Laptops, Text books",yes,2-4 hrs,Low,Medium
REG01056,Male,10,76.4,69.03,68.81,70.51,68.94,71.63,75.4,79.81,76.05,72.52,3,yes,yes,"Mobile, Text books",yes,>8 hrs,Medium,Medium
REG01057,Female,6.1,86,57.49,64.98,68.07,66.69,67.63,69.4,68.42,73.26,66.99,5,yes,no,Text books,yes,<2 hrs,High,Medium
REG01058,Male,2.8,87.2,52.99,50.97,55.33,57.78,59.51,63.81,63.36,66.32,58.76,4,yes,yes,Text books,yes,2-4 hrs,Medium,High
REG01059,Male,3.7,76.6,82.14,75.7,83.84,86.3,84.05,92.24,90.63,92.34,85.9,3,yes,no,Mobile,yes,4-6 hrs,High,Medium
REG01060,Female,3.6,79.6,78.21,77.12,76.53,76.85,76.49,76.57,75.66,75.48,76.61,1,yes,yes,"Laptops, Text books",yes,6-8 hrs,High,High
REG01061,Female,0.9,77.2,64.67,66.87,62.15,59.51,59.58,57.33,54.27,54.19,59.82,9,yes,no,Laptops,no,6-8 hrs,Medium,High
REG01062,Other,3.8,82.9,57.72,56.58,54.81,57.95,53.08,50.45,46.29,46.89,52.97,6,yes,yes,"Laptops, Mobile",yes,>8 hrs,Low,Medium
REG01063,Female,6,91.6,65.01,60.52,63.63,64.05,64.88,64.04,61.41,62.76,63.29,3,yes,yes,Mobile,yes,>8 hrs,Medium,High
REG01064,Male,2,75.8,61.89,54.2,53.78,53.1,48.61,49.79,45.87,45.81,51.63,3,no,no,"Laptops, Text books",yes,4-6 hrs,Low,Medium
REG01065,Male,6.6,90,59.13,59.18,65.78,68.49,69.37,70.5,71.93,71.71,67.01,4,yes,yes,"Laptops, Mobile, Text books",no,4-6 hrs,Medium,Medium
REG01066,Female,5.5,75.7,70.19,75.92,71.09,70.14,71.38,69.8,72.82,70.55,71.49,4,yes,yes,"Laptops, Mobile",no,6-8 hrs,Low,High
REG01067,Male,3,75.2,76.65,73.26,80.24,83.37,84.13,88.42,87.95,90.94,83.12,0,yes,no,Laptops,yes,6-8 hrs,High,Medium
